campaign_key,campaign_name,objective
1,Velocidad Doble x4 Meses,Customer Acquisition
2,Promo Cero Instalacion,Lead Generation
3,Cambiate a WOM,Customer Acquisition
4,Referidos Gana Descuento,Referral
5,Black Friday Fibra,Sales
6,Navidad Conectada,Cross-sell
7,Fiestas Patrias Chile Conectado,Brand Awareness
8,Vuelta a Clases Internet,Lead Generation
9,Mes del Gamer Ping Bajo,Lead Generation
10,Empresas Conectadas 2025,B2B Lead Generation
11,PyME Digital Chile,B2B Lead Generation
12,WOM TvGo + L1MAX,Cross-sell
13,WiFi 6 Upgrade,Upsell
14,Fibra para tu Negocio,B2B Lead Generation
15,Dia de la Madre Online,Sales
16,Dia del Padre Gaming,Sales
17,San Valentin Duo Pack,Cross-sell
18,Semana Santa en Casa,Brand Awareness
19,Cyber Days WOM,Sales
20,Aniversario WOM,Brand Awareness
21,Teletrabajo Productivo,Lead Generation
22,Educacion a Distancia,Lead Generation
23,Expansion Regional Valparaiso,Regional
24,Expansion Regional Copiapo,Regional
25,Expansion Regional Concepcion,Regional
26,L1MAX Copa Chile,Cross-sell
27,Mesh WiFi Toda la Casa,Upsell
28,Plan 5000 Mbps Lanzamiento,Brand Awareness
29,Enterprise Plus Simetrico,B2B Lead Generation
30,Ookla Awards Campeon Chile,Brand Awareness
